Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	556.15	820.97	261.7	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
1	Town02	820.6	1819.61	550.3	0.0	100.0	0.0	0	26	1	2	0	0	0	0	0
2	Town03	1870.89	1633.0	484.6	0.0	100.0	0.0	8	23	0	1	2	0	0	0	0
3	Town03	2303.38	3141.03	852.8	0.0	100.0	0.0	5	39	0	0	2	0	0	0	0
4	Town04	2058.96	2925.12	801.85	0.0	100.0	0.0	0	30	0	6	3	0	0	0	0
5	Town03	1128.32	975.89	276.95	0.006	35.077	0.0	1	14	1	1	0	0	0	0	1
6	Town03	960.52	1024.03	293.9	0.001	100.0	0.0	0	23	0	0	1	0	0	0	0
7	Town03	1205.85	1193.54	265.95	0.283	12.622	0.022	0	7	0	0	1	0	0	0	1
8	Town03	1556.54	716.37	207.2	0.018	58.892	0.0	0	15	0	0	2	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					6.701	78.51	0.069	1.431	18.194	0.204	1.022	1.124	0.0	0.0	0.0	0.204
