Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
0	Town01	550.09	259.4	100	0	1	0	0	S	S	S
1	Town02	1649.81	704.05	68.99	0	0	1	0	S	S	F
2	Town03	1477.7	626.75	88.58	0	7	0	1	S	F	S
3	Town03	2613.42	1042.1	100	0	7	0	2	S	S	S
4	Town04	2142.59	840.1	100	0	1	9	1	S	S	S
5	Town03	1067.78	458.1	100	0	1	2	1	S	S	S
6	Town03	681.11	294.3	100	0	1	0	1	S	S	S
7	Town03	1350.48	563.55	100	0	2	0	4	S	S	S
8	Town03	1126.53	478.05	100	0	2	3	2	S	S	S
9	Town03	1135.8	486.6	92.42	0	2	1	0	F	S	S
10	Town02	1745.57	746.2	81.22	0	0	1	0	S	F	S
11	Town02	502.39	208.7	9.24	0	0	0	0	S	F	S
12	Town02	1683.8	704.05	55.86	0	1	4	0	S	S	F
13	Town04	2357.55	891.9	100	0	3	9	3	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				85.451	0.0	28	30	15			
