Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	556.15	550.09	259.4	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
1	Town02	820.6	1649.81	704.05	48.29	68.985	0.7	0	0	0	1	0	0	0	1	0
2	Town03	1870.89	1477.7	626.75	0.554	88.583	0.006	7	0	0	0	1	0	0	0	1
3	Town03	2303.38	2613.42	1042.1	1.037	100.0	0.01	3	4	0	0	2	0	0	0	0
4	Town04	2058.96	2142.59	840.1	1.937	100.0	0.019	0	1	0	9	1	0	0	0	0
5	Town03	1128.32	1067.78	458.1	19.6	100.0	0.196	1	0	0	2	1	0	0	0	0
6	Town03	960.52	681.11	294.3	48.0	100.0	0.48	0	1	0	0	1	0	0	0	0
7	Town03	1205.85	1350.48	563.55	10.24	100.0	0.102	2	0	0	0	4	0	0	0	0
8	Town03	1556.54	1126.53	478.05	5.488	100.0	0.055	2	0	0	3	2	0	0	0	0
9	Town03	1549.86	1135.8	486.6	19.409	92.424	0.21	1	1	0	1	0	0	1	0	0
10	Town02	972.5	1745.57	746.2	56.853	81.219	0.7	0	0	0	1	0	0	0	0	1
11	Town02	872.1	502.39	208.7	9.238	9.238	1.0	0	0	0	0	0	0	0	0	1
12	Town02	820.6	1683.8	704.05	8.047	55.857	0.144	0	1	0	4	0	0	0	1	0
13	Town04	2069.44	2357.55	891.9	0.446	100.0	0.004	0	3	0	9	3	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					20.653	85.45	0.302	0.999	0.749	0.0	1.873	0.936	0.0	0.062	0.125	0.187
