Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
8	Town03	3146.54	1002.9	100	0	0	0	0	S	S	S
9	Town03	2622.08	785.55	100	0	0	1	0	S	S	S
10	Town06	1896.91	582.55	100	0	0	2	0	S	S	S
11	Town06	1427.98	430.65	100	0	0	0	0	S	S	S
12	Town06	1239.05	420.7	100	0	0	1	1	S	S	S
13	Town06	1445.8	471.9	57.41	0	0	2	0	S	F	S
14	Town06	793.33	275.55	100	0	0	1	0	S	S	S
15	Town02	3044.33	689.2	100	0	1	2	0	S	S	S
16	Town02	1729.79	526.3	100	0	0	0	0	S	S	S
17	Town02	3279.69	743.15	100	0	0	0	0	S	S	S
18	Town02	928.58	278.35	14.14	0	0	0	0	S	F	S
19	Town02	2659.91	557.25	100	0	0	0	0	S	S	S
20	Town04	1031.74	279.95	4.16	0	0	0	0	S	F	S
21	Town04	3904.31	1082.25	100	0	0	1	0	S	S	S
22	Town04	5003.09	1063.65	100	0	0	1	0	S	S	S
23	Town04	4959.19	1086.2	100	0	0	1	0	S	S	S
24	Town04	2407.81	425.35	16.19	0	1	1	0	S	F	S
-	-	-	-	-	-	-	-	-	-	-	-
				81.876	0.0	2.0	13.0	1.0			
