Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
0	Town01	514.59	259.7	100	0	1	1	0	S	S	S
1	Town02	800.48	369.05	22.84	0	0	1	0	S	F	S
2	Town03	1258.14	539.5	100	0	2	0	2	S	S	S
3	Town03	2265.36	943.3	100	0	3	0	2	S	S	S
4	Town04	1832.63	775.15	100	0	3	3	3	S	S	S
5	Town03	1034.6	453.2	75.27	0	0	1	1	S	F	S
6	Town03	635.8	294.1	100	0	1	1	1	S	S	S
7	Town03	1287.1	564.35	100	0	2	0	3	S	S	S
8	Town03	1275.15	524.5	100	0	2	1	2	S	S	S
9	Town03	1158.43	496.85	92.42	0	0	0	1	F	S	S
10	Town02	1654.13	736.85	100	0	0	1	0	S	S	S
11	Town02	469.33	208.45	9.46	0	1	0	0	S	F	S
12	Town02	1552.08	704.05	70.98	0	0	2	0	S	S	F
-	-	-	-	-	-	-	-	-	-	-	-
				82.382	0.0	15	11	15			
