Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	533.01	764.44	315.6	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
1	Town01	731.5	1065.43	403.6	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
2	Town01	685.67	628.98	248.25	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
3	Town01	556.15	620.63	258.05	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
4	Town01	893.89	825.96	331.65	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
5	Town03	1671.72	1535.11	507.1	32.785	32.785	1.0	0	0	0	0	0	0	0	0	1
6	Town03	1484.5	2158.28	759.65	29.4	100.0	0.294	0	1	0	2	0	0	0	0	0
7	Town03	1262.67	1136.9	450.55	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
8	Town03	1869.97	1651.33	634.5	50.0	100.0	0.5	1	0	0	0	0	0	0	0	0
9	Town03	1314.96	2741.01	917.9	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
10	Town02	1010.45	1816.59	687.1	34.3	100.0	0.343	0	0	0	3	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					67.862	93.89	0.74	0.089	0.177	0.0	0.621	0.0	0.0	0.0	0.0	0.089
