Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
11	Town02	872.1	1967.93	739.05	14.906	98.584	0.151	0	3	0	1	0	0	0	1	0
12	Town02	974.09	1817.98	701.2	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
13	Town02	820.6	1897.97	704.05	33.859	69.1	0.49	0	0	0	2	0	0	0	1	0
14	Town02	820.6	1931.93	704.05	72.763	72.763	1.0	0	0	0	0	0	0	0	1	0
15	Town04	2091.06	2558.22	805.8	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
16	Town04	1867.25	3219.92	1018.2	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
17	Town04	2069.44	3170.72	988.45	25.2	100.0	0.252	0	2	0	1	0	0	0	0	0
18	Town04	2440.36	3144.38	1033.3	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
19	Town04	1862.25	4093.74	1267.3	18.799	91.346	0.206	0	1	0	3	0	0	0	0	1
20	Town05	1071.03	1574.43	502.25	33.6	100.0	0.336	0	1	0	1	1	0	0	0	0
21	Town05	862.43	379.53	137.05	20.287	33.812	0.6	0	1	0	0	0	0	1	0	0
22	Town05	1018.15	1335.02	444.45	17.64	100.0	0.176	0	2	0	2	0	0	0	0	0
23	Town05	991.76	944.55	328.45	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
24	Town05	1271.91	2341.29	734.5	20.58	100.0	0.206	0	1	0	3	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					46.188	90.4	0.522	0.0	0.639	0.0	0.988	0.058	0.0	0.058	0.174	0.058
