Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
1	Town01	857.52	355.2	100	0	0	1	0	S	S	S
0	Town01	764.44	315.6	100	0	0	0	0	S	S	S
1	Town01	1065.43	403.6	100	0	0	0	0	S	S	S
2	Town01	628.98	248.25	100	0	0	1	0	S	S	S
3	Town01	620.63	258.05	100	0	1	0	0	S	S	S
4	Town01	825.96	331.65	100	0	0	0	0	S	S	S
5	Town03	1535.11	507.1	32.78	0	0	0	0	S	F	S
6	Town03	2158.28	759.65	100	0	1	2	0	S	S	S
7	Town03	1136.9	450.55	100	0	0	0	0	S	S	S
8	Town03	1651.33	634.5	100	0	1	0	0	S	S	S
9	Town03	2741.01	917.9	100	0	0	1	0	S	S	S
10	Town02	1816.59	687.1	100	0	0	3	0	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				94.398	0.0	3.0	8.0	0.0			
