Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
0	Town01	588.95	259.5	100	0	1	0	0	S	S	S
1	Town02	1658.27	704.05	83.37	0	0	2	0	S	S	F
2	Town03	1081.99	479.5	100	0	1	0	2	S	S	S
3	Town03	2201.82	897.95	100	0	3	2	2	S	S	S
4	Town04	1747.81	709.0	100	0	0	2	2	S	S	S
5	Town03	852.75	360.6	53.76	0	0	1	0	S	F	S
6	Town03	689.97	294.1	100	0	1	0	1	S	S	S
7	Town03	1184.21	503.35	100	0	0	1	3	S	S	S
8	Town03	1101.11	447.85	56.49	0	2	2	2	S	F	S
9	Town03	1284.79	541.4	92.42	0	1	1	0	F	S	S
10	Town02	1571.44	672.5	100	0	0	1	0	S	S	S
11	Town02	1590.44	667.95	100	0	0	0	0	S	S	S
12	Town02	1702.8	704.05	57.11	0	0	2	0	S	S	F
13	Town04	2067.11	774.6	100	0	0	2	1	S	S	S
14	Town04	3372.74	1207.3	100	0	1	0	1	S	S	S
15	Town04	1702.87	728.65	100	0	0	1	0	S	S	S
16	Town05	5.59	0.05	0.0	0	0	0	0	S	S	S
17	Town05	5.76	0.05	0.0	0	0	0	0	S	S	S
18	Town05	3.24	0.05	0.0	0	0	0	0	S	S	S
19	Town05	6.42	0.05	0.0	0	0	0	0	S	S	S
20	Town05	1035.64	402.45	53.33	0	0	0	0	S	F	S
21	Town05	6.28	0.05	0.0	0	0	0	0	S	S	S
22	Town05	3.34	0.05	0.0	0	0	0	0	S	S	S
23	Town05	7.53	0.05	0.0	0	0	0	0	S	S	S
24	Town05	4.39	0.05	0.0	0	0	0	0	S	S	S
25	Town05	3.83	0.05	0.0	0	0	0	0	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				57.557	0.0	10	17	14			
