Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	533.01	616.16	263.9	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
1	Town01	731.5	812.2	356.45	36.0	100.0	0.36	0	2	0	0	0	0	0	0	0
2	Town01	685.67	438.61	196.0	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
3	Town01	556.15	572.78	252.4	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
4	Town01	893.89	691.9	298.9	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
5	Town03	1671.72	1347.84	512.4	8.206	32.564	0.252	0	2	0	1	0	0	0	0	1
6	Town03	1484.5	1556.35	637.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
7	Town03	1262.67	900.49	395.95	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
8	Town03	1869.97	850.22	347.7	18.037	36.073	0.5	1	0	0	0	0	0	0	0	1
9	Town03	1314.96	1429.62	557.55	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
10	Town06	1129.37	1088.38	476.75	35.0	100.0	0.35	1	0	0	1	0	0	0	0	0
11	Town06	1687.29	979.95	420.7	35.0	100.0	0.35	1	0	0	1	0	0	0	0	0
12	Town06	1859.38	911.9	415.05	33.6	100.0	0.336	0	1	0	1	1	0	0	0	0
13	Town06	2270.93	1263.44	527.6	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
14	Town06	1329.75	633.99	282.15	35.0	100.0	0.35	1	0	0	1	0	0	0	0	0
15	Town02	1010.45	1542.74	645.9	36.0	100.0	0.36	0	2	0	0	0	0	0	0	0
16	Town02	872.1	1328.42	524.05	9.072	100.0	0.091	0	4	0	1	0	0	0	0	0
17	Town02	974.09	1810.97	747.2	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
18	Town02	820.6	1462.34	597.15	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
19	Town02	820.6	1029.58	423.05	29.4	100.0	0.294	0	1	0	2	0	0	0	0	0
20	Town04	2091.06	1947.22	715.25	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
21	Town04	1867.25	2363.8	841.95	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
22	Town04	2069.44	2542.44	911.95	15.12	100.0	0.151	0	3	0	1	0	0	0	0	0
23	Town04	2440.36	3120.38	1025.8	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
24	Town04	1862.25	3230.06	1098.45	25.2	100.0	0.252	0	2	0	1	0	0	0	0	0
25	Town05	1071.03	1337.25	502.55	56.0	100.0	0.56	0	0	0	1	1	0	0	0	0
26	Town05	862.43	331.54	131.05	20.287	33.812	0.6	0	1	0	0	0	0	1	0	0
27	Town05	1018.15	1559.15	573.65	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
28	Town05	991.76	831.87	327.95	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
29	Town05	1271.91	2312.98	794.85	20.58	100.0	0.206	0	1	0	3	0	0	0	0	0
30	-	1310.81	-	-	49.65	93.41	0.53	0.1	0.56	0.0	0.64	0.05	0.0	0.03	0.0	0.05
