Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	533.01	616.16	263.9	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
1	Town01	731.5	812.2	356.45	36.0	100.0	0.36	0	2	0	0	0	0	0	0	0
2	Town01	685.67	438.61	196.0	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
3	Town01	556.15	572.78	252.4	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
4	Town01	893.89	691.9	298.9	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
5	Town03	1671.72	1347.84	512.4	8.206	32.564	0.252	0	2	0	1	0	0	0	0	1
6	Town03	1484.5	1556.35	637.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
7	Town03	1262.67	900.49	395.95	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
8	Town03	1869.97	850.22	347.7	18.037	36.073	0.5	1	0	0	0	0	0	0	0	1
9	Town03	1314.96	1429.62	557.55	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
10	Town06	1129.37	1088.38	476.75	35.0	100.0	0.35	1	0	0	1	0	0	0	0	0
11	Town06	1687.29	979.95	420.7	35.0	100.0	0.35	1	0	0	1	0	0	0	0	0
12	Town06	1859.38	911.9	415.05	33.6	100.0	0.336	0	1	0	1	1	0	0	0	0
13	Town06	2270.93	1263.44	527.6	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
14	Town06	1329.75	633.99	282.15	35.0	100.0	0.35	1	0	0	1	0	0	0	0	0
15	Town02	1010.45	1542.74	645.9	36.0	100.0	0.36	0	2	0	0	0	0	0	0	0
16	Town02	872.1	1328.42	524.05	9.072	100.0	0.091	0	4	0	1	0	0	0	0	0
17	Town02	974.09	1810.97	747.2	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
18	Town02	820.6	1462.34	597.15	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
19	Town02	820.6	1029.58	423.05	29.4	100.0	0.294	0	1	0	2	0	0	0	0	0
20	Town04	2091.06	1947.22	715.25	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
21	Town04	1867.25	2363.8	841.95	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					53.787	94.029	0.56	0.153	0.498	0.0	0.652	0.038	0.0	0.0	0.0	0.077
