Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
0	Town01	616.16	263.9	100	0	0	2	0	S	S	S
1	Town01	812.2	356.45	100	0	2	0	0	S	S	S
2	Town01	438.61	196.0	100	0	0	0	0	S	S	S
3	Town01	572.78	252.4	100	0	1	0	0	S	S	S
4	Town01	691.9	298.9	100	0	0	0	0	S	S	S
5	Town03	1347.84	512.4	32.56	0	2	1	0	S	F	S
6	Town03	1556.35	637.45	100	0	0	1	0	S	S	S
7	Town03	900.49	395.95	100	0	0	0	0	S	S	S
8	Town03	850.22	347.7	36.07	0	1	0	0	S	F	S
9	Town03	1429.62	557.55	100	0	0	1	0	S	S	S
10	Town06	1088.38	476.75	100	0	1	1	0	S	S	S
11	Town06	979.95	420.7	100	0	1	1	0	S	S	S
12	Town06	911.9	415.05	100	0	1	1	1	S	S	S
13	Town06	1263.44	527.6	100	0	0	2	0	S	S	S
14	Town06	633.99	282.15	100	0	1	1	0	S	S	S
15	Town02	1542.74	645.9	100	0	2	0	0	S	S	S
16	Town02	1328.42	524.05	100	0	4	1	0	S	S	S
17	Town02	1810.97	747.2	100	0	0	1	0	S	S	S
18	Town02	1462.34	597.15	100	0	0	1	0	S	S	S
19	Town02	1029.58	423.05	100	0	1	2	0	S	S	S
20	Town04	1947.22	715.25	100	0	0	0	0	S	S	S
21	Town04	2363.8	841.95	100	0	0	1	0	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				94.029	0.0	17.0	17.0	1.0			
