Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
22	Town04	2069.44	2542.44	911.95	15.12	100.0	0.151	0	3	0	1	0	0	0	0	0
23	Town04	2440.36	3120.38	1025.8	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
24	Town04	1862.25	3230.06	1098.45	25.2	100.0	0.252	0	2	0	1	0	0	0	0	0
25	Town05	1071.03	1337.25	502.55	56.0	100.0	0.56	0	0	0	1	1	0	0	0	0
26	Town05	862.43	331.54	131.05	20.287	33.812	0.6	0	1	0	0	0	0	1	0	0
27	Town05	1018.15	1559.15	573.65	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
28	Town05	991.76	831.87	327.95	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
29	Town05	1271.91	2312.98	794.85	20.58	100.0	0.206	0	1	0	3	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					38.273	91.727	0.432	0.0	0.847	0.0	0.753	0.094	0.0	0.094	0.0	0.0
