Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	533.01	371.5	319.4	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
1	Town01	731.5	477.13	401.95	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
2	Town01	685.67	438.48	377.4	61.345	61.345	1.0	0	0	0	0	0	0	0	0	1
3	Town01	556.15	306.71	259.6	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
4	Town01	893.89	364.62	267.95	14.232	14.232	1.0	0	0	0	0	0	0	0	0	1
5	Town02	1010.45	752.01	678.9	100.0	100.0	1.0	0	0	0	0	0	0	0	0	1
6	Town02	872.1	242.98	208.0	5.478	9.129	0.6	0	1	0	0	0	0	0	0	1
7	Town02	974.09	738.48	658.05	100.0	100.0	1.0	0	0	0	0	0	0	0	0	1
8	Town02	820.6	795.94	704.05	18.139	83.976	0.216	0	3	0	0	0	0	0	1	0
9	Town02	820.6	765.73	684.95	42.0	100.0	0.42	0	1	0	1	0	0	0	0	0
10	Town03	1671.72	579.13	395.55	2.58	26.254	0.098	0	3	1	1	0	0	0	0	1
11	Town03	1484.5	735.19	517.35	0.468	100.0	0.005	0	5	0	6	3	0	0	0	0
12	Town03	1262.67	660.9	455.3	1.338	100.0	0.013	0	6	0	1	4	0	0	0	0
13	Town03	1869.97	434.16	299.4	4.177	58.845	0.071	1	1	2	1	1	0	1	0	0
14	Town03	1314.96	996.33	646.8	3.251	100.0	0.033	0	4	0	2	3	0	0	0	0
15	Town04	2091.06	919.31	627.3	1.394	100.0	0.014	0	4	0	5	2	0	0	0	0
16	Town04	1867.25	1197.42	700.95	4.84	100.0	0.048	0	2	0	5	1	0	0	0	0
17	Town04	2069.44	899.07	568.8	4.204	69.796	0.06	0	0	0	6	3	0	0	0	1
18	Town04	2440.36	1848.71	981.2	9.034	91.449	0.099	0	2	0	3	1	0	0	0	1
19	Town04	1862.25	1537.83	872.15	1.446	100.0	0.014	0	0	0	10	3	0	0	0	0
20	Town05	1071.03	220.3	145.1	10.274	24.462	0.42	0	1	0	1	0	0	1	0	0
21	Town05	862.43	133.07	108.25	23.669	33.812	0.7	0	0	0	1	0	0	1	0	0
22	Town05	1018.15	746.2	471.6	2.613	100.0	0.026	0	6	0	1	1	0	0	0	0
23	Town05	991.76	617.43	464.85	8.353	30.596	0.273	0	1	1	1	0	0	0	0	1
24	Town05	1271.91	421.52	234.75	4.141	4.141	1.0	0	0	0	0	0	0	0	0	1
25	Town06	1129.37	533.63	416.95	0.49	100.0	0.005	2	7	0	1	0	0	0	0	0
26	Town06	1687.29	543.63	421.1	15.12	100.0	0.151	0	3	0	1	0	0	0	0	0
27	Town06	1859.38	682.26	410.75	11.76	100.0	0.118	1	1	0	2	1	0	0	0	0
28	Town06	2270.93	756.66	380.0	7.866	53.508	0.147	1	1	0	2	0	0	0	0	1
29	Town06	1329.75	351.56	235.7	21.0	100.0	0.21	1	1	0	1	0	0	0	0	0
