Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	533.01	564.41	253.2	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
1	Town01	731.5	900.39	396.25	36.0	100.0	0.36	0	2	0	0	0	0	0	0	0
2	Town01	685.67	427.54	196.15	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
3	Town01	556.15	560.99	252.6	30.0	100.0	0.3	1	1	0	0	0	0	0	0	0
4	Town01	893.89	600.13	266.0	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
5	Town03	1671.72	2274.77	913.8	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
6	Town03	1484.5	1707.11	695.4	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
7	Town03	1262.67	901.41	395.35	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
8	Town03	1869.97	2922.73	1133.35	1.297	55.644	0.023	1	6	0	0	0	1	0	0	0
9	Town03	1314.96	1415.25	553.45	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
10	Town06	1129.37	1199.12	503.85	24.5	100.0	0.245	1	0	0	2	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					62.709	95.968	0.628	0.258	0.773	0.0	0.515	0.0	0.086	0.0	0.0	0.0
