Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
0	Town01	564.41	253.2	100	0	0	0	0	S	S	S
1	Town01	900.39	396.25	100	0	2	0	0	S	S	S
2	Town01	427.54	196.15	100	0	0	0	0	S	S	S
3	Town01	560.99	252.6	100	0	2	0	0	S	S	S
4	Town01	600.13	266.0	100	0	0	0	0	S	S	S
5	Town03	2274.77	913.8	100	0	0	0	0	S	S	S
6	Town03	1707.11	695.4	100	0	0	2	0	S	S	S
7	Town03	901.41	395.35	100	0	0	0	0	S	S	S
8	Town03	2922.73	1133.35	55.64	0.09	7	0	0	S	S	S
9	Town03	1415.25	553.45	100	0	0	2	0	S	S	S
10	Town06	1199.12	503.85	100	0	1	2	0	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				95.967	0.008	12.0	6.0	0.0			
