Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town05	2101.2	2768.96	976.45	40.96	100.0	0.41	0	0	0	0	4	0	0	0	0
1	Town02	820.6	619.93	229.75	8.995	12.849	0.7	0	0	0	1	0	0	0	0	1
2	Town03	1870.89	1203.43	493.55	40.0	100.0	0.4	1	0	0	0	1	0	0	0	0
3	Town03	2303.38	2553.44	942.4	80.0	100.0	0.8	0	0	0	0	1	0	0	0	0
4	Town03	1128.32	1429.99	551.35	80.0	100.0	0.8	0	0	0	0	1	0	0	0	0
5	Town03	960.52	895.12	356.05	80.0	100.0	0.8	0	0	0	0	1	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					54.992	85.475	0.652	0.127	0.0	0.0	0.127	1.019	0.0	0.0	0.0	0.127
