Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
1	Town02	1570.99	686.65	100	0	0	0	0	S	S	S
2	Town03	1129.62	486.5	100	0	1	0	2	S	S	S
3	Town03	2806.55	1079.45	100	0	2	0	0	S	S	S
4	Town04	2071.55	801.55	100	0	0	1	2	S	S	S
5	Town03	972.93	412.45	55.28	0	1	0	0	S	F	S
6	Town03	662.88	294.2	100	0	1	0	1	S	S	S
7	Town03	1187.61	512.8	100	0	1	0	2	S	S	S
8	Town03	1411.35	585.7	100	0	1	2	2	S	S	S
9	Town03	1278.53	547.35	92.42	0	0	0	1	F	S	S
10	Town02	1391.69	588.8	54.82	0	0	0	0	S	F	S
11	Town02	957.6	396.5	9.13	0	0	0	0	S	F	S
12	Town02	1686.44	704.05	66.24	0	0	1	0	S	S	F
13	Town04	2215.95	861.75	100	0	0	0	3	S	S	S
14	Town04	3061.28	1146.7	100	0	1	1	1	S	S	S
15	Town04	1590.81	728.95	100	0	0	1	0	S	S	S
16	Town05	1076.08	455.45	100	0	0	2	4	S	S	S
17	Town05	337.55	131.95	33.7	0	0	0	0	F	S	S
18	Town05	1326.38	539.05	100	0	3	0	1	S	S	S
19	Town05	799.79	328.5	100	0	1	0	0	S	S	S
20	Town05	905.04	353.3	100	0	0	0	3	S	S	S
21	Town05	594.57	247.85	100	0	1	0	0	S	S	S
22	Town05	846.57	334.0	100	0	1	0	0	S	S	S
23	Town05	1868.2	734.35	100	0	2	0	2	S	S	S
24	Town05	810.37	291.15	8.82	3.46	2	0	0	S	F	S
25	Town05	1503.37	548.95	100	0	3	0	4	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				84.816	0.138	21	8	28			
