Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
1	Town02	820.6	1570.99	686.65	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
2	Town03	1870.89	1129.62	486.5	32.0	100.0	0.32	1	0	0	0	2	0	0	0	0
3	Town03	2303.38	2806.55	1079.45	36.0	100.0	0.36	0	2	0	0	0	0	0	0	0
4	Town04	2058.96	2071.55	801.55	44.8	100.0	0.448	0	0	0	1	2	0	0	0	0
5	Town03	1128.32	972.93	412.45	33.166	55.277	0.6	0	1	0	0	0	0	0	0	1
6	Town03	960.52	662.88	294.2	48.0	100.0	0.48	0	1	0	0	1	0	0	0	0
7	Town03	1205.85	1187.61	512.8	38.4	100.0	0.384	0	1	0	0	2	0	0	0	0
8	Town03	1556.54	1411.35	585.7	18.816	100.0	0.188	0	1	0	2	2	0	0	0	0
9	Town03	1549.86	1278.53	547.35	73.939	92.424	0.8	0	0	0	0	1	0	1	0	0
10	Town02	972.5	1391.69	588.8	54.821	54.821	1.0	0	0	0	0	0	0	0	0	1
11	Town02	872.1	957.6	396.5	9.129	9.129	1.0	0	0	0	0	0	0	0	0	1
12	Town02	820.6	1686.44	704.05	46.368	66.24	0.7	0	0	0	1	0	0	0	1	0
13	Town04	2069.44	2215.95	861.75	51.2	100.0	0.512	0	0	0	0	3	0	0	0	0
14	Town04	2440.36	3061.28	1146.7	33.6	100.0	0.336	0	1	0	1	1	0	0	0	0
15	Town04	2288.15	1590.81	728.95	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
16	Town05	1071.03	1076.08	455.45	20.07	100.0	0.201	0	0	0	2	4	0	0	0	0
17	Town05	862.43	337.55	131.95	33.7	33.7	1.0	0	0	0	0	0	0	1	0	0
18	Town05	1018.15	1326.38	539.05	17.28	100.0	0.173	0	3	0	0	1	0	0	0	0
19	Town05	1651.12	799.79	328.5	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
20	Town05	1247.52	905.04	353.3	51.2	100.0	0.512	0	0	0	0	3	0	0	0	0
21	Town05	531.08	594.57	247.85	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
22	Town05	991.76	846.57	334.0	60.0	100.0	0.6	0	1	0	0	0	0	0	0	0
23	Town05	1271.91	1868.2	734.35	23.04	100.0	0.23	0	2	0	0	2	0	0	0	0
24	Town05	2101.2	810.37	291.15	3.599	8.824	0.408	0	0	2	0	0	1	0	0	1
25	Town05	1554.58	1503.37	548.95	8.847	100.0	0.088	0	3	0	0	4	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					41.119	84.817	0.53	0.033	0.603	0.067	0.268	0.937	0.033	0.067	0.033	0.134
