Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town01	141.42	1356.29	532.65	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
1	Town01	141.42	1365.28	531.9	34.3	100.0	0.343	0	0	0	3	0	0	0	0	0
2	Town01	141.42	1441.85	556.45	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
3	Town01	141.42	149.16	64.5	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
4	Town01	141.42	158.01	66.7	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
5	Town01	141.42	152.93	64.75	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					75.55	100.0	0.755	0.0	0.0	0.0	7.071	0.0	0.0	0.0	0.0	0.0
