Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
1	Town02	820.6	1716.98	704.05	50.931	84.885	0.6	0	1	0	0	0	0	0	1	0
2	Town03	1870.89	1165.52	489.7	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
3	Town03	2303.38	2945.57	1079.55	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
4	Town04	2058.96	1362.9	479.95	35.54	35.54	1.0	0	0	0	0	0	0	0	0	1
5	Town03	1128.32	1490.33	551.7	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
6	Town03	960.52	890.21	356.2	80.0	100.0	0.8	0	0	0	0	1	0	0	0	0
7	Town03	1205.85	1518.95	581.7	56.0	100.0	0.56	0	0	0	1	1	0	0	0	0
8	Town03	1556.54	2646.25	1001.55	29.159	99.181	0.294	0	1	0	2	0	0	0	0	1
9	Town03	1549.86	549.98	191.3	1.435	2.392	0.6	0	1	0	0	0	0	0	0	1
10	Town02	972.5	1990.66	815.05	93.19	93.19	1.0	0	0	0	0	0	0	0	1	0
11	Town02	872.1	535.49	209.3	9.347	9.347	1.0	0	0	0	0	0	0	0	0	1
12	Town02	820.6	1791.1	704.05	57.8	57.8	1.0	0	0	0	0	0	0	0	1	0
13	Town04	2069.44	1068.47	380.9	32.585	32.585	1.0	0	0	0	0	0	0	0	0	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					57.384	70.378	0.835	0.0	0.234	0.0	0.234	0.156	0.0	0.0	0.234	0.391
