Id	Town	DST	DGT	RCT	ORLT	CT	RRLT	RST	IRT	ABT	TOut
0	Town01	555.13	259.5	100	0	1	0	0	S	S	S
1	Town02	1615.43	704.05	61.71	0	0	2	0	S	S	F
2	Town03	1098.03	491.55	100	0	1	0	2	S	S	S
3	Town03	2198.92	905.65	100	0	3	0	1	S	S	S
4	Town04	1900.36	768.7	100	0	0	1	2	S	S	S
5	Town03	837.46	359.7	53.76	0	0	1	0	S	F	S
6	Town03	662.88	294.15	100	0	1	1	1	S	S	S
7	Town03	1213.1	510.4	100	0	2	1	2	S	S	S
8	Town03	1203.98	524.05	100	0	1	3	3	S	S	S
9	Town03	1087.58	485.35	92.42	0	0	1	0	F	S	S
10	Town02	1743.54	763.3	100	0	0	1	0	S	S	S
11	Town02	1537.06	668.35	100	0	0	0	0	S	S	S
12	Town02	1069.8	453.05	27.62	0	0	1	0	S	F	S
13	Town04	1989.76	801.45	100	0	0	1	2	S	S	S
14	Town04	2611.05	965.95	100	0	3	2	1	S	S	S
15	Town04	1624.45	738.15	100	0	1	2	0	S	S	S
16	Town05	1198.63	502.35	100	0	3	1	3	S	S	S
17	Town05	302.02	126.15	33.7	0	0	0	0	F	S	S
18	Town05	992.6	389.85	100	0	3	4	1	S	S	S
19	Town05	772.45	325.25	100	0	0	1	0	S	S	S
20	Town05	1214.45	471.15	100	0	1	0	2	S	S	S
21	Town05	455.7	202.05	100	0	0	1	1	S	S	S
22	Town05	835.36	329.95	100	0	2	0	0	S	S	S
23	Town05	1664.58	610.6	100	0	3	4	3	S	S	S
24	Town05	1643.43	594.3	22.36	0	3	0	0	S	F	S
25	Town05	1393.53	568.2	100	0	0	1	5	S	S	S
-	-	-	-	-	-	-	-	-	-	-	-
				88.137	0.0	28	29	29			
