Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town03	141.42	421.26	168.35	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					49.0	100.0	0.49	0.0	0.0	0.0	14.142	0.0	0.0	0.0	0.0	0.0
