Id	Town	RL	DST	DGT	DS	RC	IP	CP	CV	CL	RLI	SSI	ORI	RD	RT	AB
0	Town03	1205.85	1397.11	520.8	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
1	Town02	820.6	2077.28	704.05	34.853	71.128	0.49	0	0	0	2	0	0	0	1	0
2	Town03	1870.89	1060.75	396.75	25.523	42.538	0.6	0	1	0	0	0	0	0	0	1
3	Town03	2303.38	3286.16	1079.55	29.4	100.0	0.294	0	1	0	2	0	0	0	0	0
4	Town04	2058.96	2479.09	746.2	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
5	Town03	1128.32	1300.04	477.8	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
6	Town03	960.52	1000.48	356.45	80.0	100.0	0.8	0	0	0	0	1	0	0	0	0
7	Town03	1205.85	1430.28	520.55	70.0	100.0	0.7	0	0	0	1	0	0	0	0	0
8	Town03	1556.54	2489.1	902.75	49.0	100.0	0.49	0	0	0	2	0	0	0	0	0
9	Town03	1549.86	1318.0	488.1	92.424	92.424	1.0	0	0	0	0	0	0	1	0	0
10	Town02	972.5	2232.62	777.4	100.0	100.0	1.0	0	0	0	0	0	0	0	0	0
11	Town02	872.1	525.1	208.45	9.347	9.347	1.0	0	0	0	0	0	0	0	0	1
-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
					56.629	84.62	0.689	0.0	0.143	0.0	0.788	0.072	0.0	0.072	0.072	0.143
